name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
100NaturalBran,Q,C,120,3,5,15,2.0,8.0,8.0,135.0,0,3,1.0,1.0,33.983679
All-Bran,K,C,70,4,1,260,9.0,7.0,5.0,320.0,25,3,1.0,0.33,59.425505
All-BranwithExtraFiber,K,C,50,4,0,140,14.0,8.0,0.0,330.0,25,3,1.0,0.5,93.704912
AlmondDelight,R,C,110,2,2,200,1.0,14.0,8.0,,25,3,1.0,0.75,34.384843
AppleCinnamonCheerios,G,C,110,2,2,180,1.5,10.5,10.0,70.0,25,1,1.0,0.75,29.509541
AppleJacks,K,C,110,2,0,125,1.0,11.0,14.0,30.0,25,2,1.0,1.0,33.174094
Basic4,G,C,130,3,2,210,2.0,18.0,8.0,100.0,25,3,1.33,0.75,37.038562
BranChex,R,C,90,2,1,200,4.0,15.0,6.0,125.0,25,1,1.0,0.67,49.120253
BranFlakes,P,C,90,3,0,210,5.0,13.0,5.0,190.0,25,3,1.0,0.67,53.313813
CapnCrunch,Q,C,120,1,2,220,0.0,12.0,12.0,35.0,25,2,1.0,0.75,18.042851
Cheerios,G,C,110,6,2,290,2.0,17.0,1.0,105.0,25,1,1.0,1.25,50.764999
CinnamonToastCrunch,G,C,120,1,3,210,0.0,13.0,9.0,45.0,25,2,1.0,0.75,19.823573
Clusters,G,C,110,3,2,140,2.0,13.0,7.0,105.0,25,3,1.0,0.5,40.400208
CocoaPuffs,G,C,110,1,1,180,0.0,12.0,13.0,55.0,25,2,1.0,1.0,22.736446
CornChex,R,C,110,2,0,280,0.0,22.0,3.0,25.0,25,1,1.0,1.0,41.445019
CornFlakes,K,C,100,2,0,290,1.0,21.0,2.0,35.0,25,1,1.0,1.0,45.863324
CornPops,K,C,110,1,0,90,1.0,13.0,12.0,20.0,25,2,1.0,1.0,35.782791
CountChocula,G,C,110,1,1,180,0.0,12.0,13.0,65.0,25,2,1.0,1.0,22.396513
CracklinOatBran,K,C,110,3,3,140,4.0,10.0,7.0,160.0,25,3,1.0,0.5,40.448772
CreamofWheatQuick,N,H,100,3,0,80,1.0,21.0,0.0,,0,2,1.0,1.0,64.533816
Crispix,K,C,110,2,0,220,1.0,21.0,3.0,30.0,25,3,1.0,1.0,46.895644
CrispyWheatRaisins,G,C,100,2,1,140,2.0,11.0,10.0,120.0,25,3,1.0,0.75,36.176196
DoubleChex,R,C,100,2,0,190,1.0,18.0,5.0,80.0,25,3,1.0,0.75,44.330856
FrootLoops,K,C,110,2,1,125,1.0,11.0,13.0,30.0,25,2,1.0,1.0,32.207582
FrostedFlakes,K,C,110,1,0,200,1.0,14.0,11.0,25.0,25,1,1.0,0.75,31.435973
FrostedMiniWheats,K,C,100,3,0,0,3.0,14.0,7.0,100.0,25,2,1.0,0.8,58.345141
FruiFibreDatesWalnutsandOats,P,C,120,3,2,160,5.0,12.0,10.0,200.0,25,3,1.25,0.67,40.917047
FruitfulBran,K,C,120,3,0,240,5.0,14.0,12.0,190.0,25,3,1.33,0.67,41.015492
FruityPebbles,P,C,110,1,1,135,0.0,13.0,12.0,25.0,25,2,1.0,0.75,28.025765
GoldenCrisp,P,C,100,2,0,45,0.0,11.0,15.0,40.0,25,1,1.0,0.88,35.252444
GoldenGrahams,G,C,110,1,1,280,0.0,15.0,9.0,45.0,25,2,1.0,0.75,23.804043
GrapeNutsFlakes,P,C,100,3,1,140,3.0,15.0,5.0,85.0,25,3,1.0,0.88,52.076897
Grape-Nuts,P,C,110,3,0,170,3.0,17.0,3.0,90.0,25,3,1.0,0.25,53.371007
GreatGrainsPecan,P,C,120,3,3,75,3.0,13.0,4.0,100.0,25,3,1.0,0.33,45.811716
HoneyGrahamOhs,Q,C,120,1,2,220,1.0,12.0,11.0,45.0,25,2,1.0,1.0,21.871292
HoneyNutCheerios,G,C,110,3,1,250,1.5,11.5,10.0,90.0,25,1,1.0,0.75,31.072217
Honey-comb,P,C,110,1,0,180,0.0,14.0,11.0,35.0,25,1,1.0,1.33,28.742414
JustRightCrunchyNuggets,K,C,110,2,1,170,1.0,17.0,6.0,60.0,100,3,1.0,1.0,36.523683
JustRightFruitNut,K,C,140,3,1,170,2.0,20.0,9.0,95.0,100,3,1.3,0.75,36.471512
Kix,G,C,110,2,1,260,0.0,21.0,3.0,40.0,25,2,1.0,1.5,39.241114
Life,Q,C,100,4,2,150,2.0,12.0,6.0,95.0,25,2,1.0,0.67,45.328074
LuckyCharms,G,C,110,2,1,180,0.0,12.0,12.0,55.0,25,2,1.0,1.0,26.734515
Maypo,A,H,100,4,1,0,0.0,16.0,3.0,95.0,25,2,1.0,1.0,54.850917
MuesliRaisinsDatesAlmonds,R,C,150,4,3,95,3.0,16.0,11.0,170.0,25,3,1.0,1.0,37.136863
MuesliRaisinsPeachesPecans,R,C,150,4,3,150,3.0,16.0,11.0,170.0,25,3,1.0,1.0,34.139765
MueslixCrispyBlend,K,C,160,3,2,150,3.0,17.0,13.0,160.0,25,3,1.5,0.67,30.313351
Multi-GrainCheerios,G,C,100,2,1,220,2.0,15.0,6.0,90.0,25,1,1.0,1.0,40.105965
NutHoneyCrunch,K,C,120,2,1,190,0.0,15.0,9.0,40.0,25,2,1.0,0.67,29.924285
Nutri-GrainAlmond-Raisin,K,C,140,3,2,220,3.0,21.0,7.0,130.0,25,3,1.33,0.67,40.69232
Nutri-grainWheat,K,C,90,3,0,170,3.0,18.0,2.0,90.0,25,3,1.0,1.0,59.642837
OatmealRaisinCrisp,G,C,130,3,2,170,1.5,13.5,10.0,120.0,25,3,1.25,0.5,30.450843
PostNatRaisinBran,P,C,120,3,1,200,6.0,11.0,14.0,260.0,25,3,1.33,0.67,37.840594
Product19,K,C,100,3,0,320,1.0,20.0,3.0,45.0,100,3,1.0,1.0,41.50354
PuffedRice,Q,C,50,1,0,0,0.0,13.0,0.0,15.0,0,3,0.5,1.0,60.756112
PuffedWheat,Q,C,50,2,0,0,1.0,10.0,0.0,50.0,0,3,0.5,1.0,63.005645
QuakerOatSquares,Q,C,100,4,1,135,2.0,14.0,6.0,110.0,25,3,1.0,0.5,49.511874
QuakerOatmeal,Q,H,100,5,2,0,2.7,,,110.0,0,1,1.0,0.67,50.828392
RaisinBran,K,C,120,3,1,210,5.0,14.0,12.0,240.0,25,2,1.33,0.75,39.259197
RaisinNutBran,G,C,100,3,2,140,2.5,10.5,8.0,140.0,25,3,1.0,0.5,39.7034
RaisinSquares,K,C,90,2,0,0,2.0,15.0,6.0,110.0,25,3,1.0,0.5,55.333142
RiceChex,R,C,110,1,0,240,0.0,23.0,2.0,30.0,25,1,1.0,1.13,41.998933
RiceKrispies,K,C,110,2,0,290,0.0,22.0,3.0,35.0,25,1,1.0,1.0,40.560159
ShreddedWheat,N,C,80,2,0,0,3.0,16.0,0.0,95.0,0,1,0.83,1.0,68.235885
ShreddedWheatnBran,N,C,90,3,0,0,4.0,19.0,0.0,140.0,0,1,1.0,0.67,74.472949
ShreddedWheatspoonsize,N,C,90,3,0,0,3.0,20.0,0.0,120.0,0,1,1.0,0.67,72.801787
Smacks,K,C,110,2,1,70,1.0,9.0,15.0,40.0,25,2,1.0,0.75,31.230054
SpecialK,K,C,110,6,0,230,1.0,16.0,3.0,55.0,25,1,1.0,1.0,53.131324
StrawberryFruitWheats,N,C,90,2,0,15,3.0,15.0,5.0,90.0,25,2,1.0,1.0,59.363993
TotalCornFlakes,G,C,110,2,1,200,0.0,21.0,3.0,35.0,100,3,1.0,1.0,38.839746
TotalRaisinBran,G,C,140,3,1,190,4.0,15.0,14.0,230.0,100,3,1.5,1.0,28.592785
TotalWholeGrain,G,C,100,3,1,200,3.0,16.0,3.0,110.0,100,3,1.0,1.0,46.658844
Triples,G,C,110,2,1,250,0.0,21.0,3.0,60.0,25,3,1.0,0.75,39.106174
Trix,G,C,110,1,1,140,0.0,13.0,12.0,25.0,25,2,1.0,1.0,27.753301
WheatChex,R,C,100,3,1,230,3.0,17.0,3.0,115.0,25,1,1.0,0.67,49.787445
Wheaties,G,C,100,3,1,200,3.0,17.0,3.0,110.0,25,1,1.0,1.0,51.592193
WheatiesHoneyGold,G,C,110,2,1,200,1.0,16.0,8.0,60.0,25,1,1.0,0.75,36.187559
